,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,A,B,GSM26878.CEL,GSM26883.CEL,GSM26887.CEL,GSM26903.CEL,GSM26910.CEL,GSM26888.CEL,GSM26889.CEL,GSM26892.CEL,GSM26898.CEL,GSM26906.CEL
207039_at,NA,NA,-2.7085234378968,7.34381046836941,-7.89499033208956,3.77645137806926e-07,0.000162568022148973,6.78645450207679,-2.7085234378968,6.36586616708788,9.07438960498468,6.5681524114154,6.70801057319935,6.05006876713315,6.00728227907041,6.49581680462109,7.80993722348562,8.95161285385475,10.2700324424823,8.76541288130674,9.574952623794
206164_at,NA,NA,3.77835431118644,7.0121679534061,7.77004946287747,4.70100072609602e-07,0.000193935867454486,6.57976510433509,3.77835431118643,9.36269851066796,5.58434419948152,9.50671999263863,9.09252118178259,10.8933090260842,7.29741423269703,10.0235281201373,5.57125119916804,5.6660864608304,5.65228028475825,5.85694919167069,5.17515386098025
202579_x_at,NA,NA,-1.29397489061353,10.2261640427615,-7.72366322179223,5.10184146892802e-07,0.000202053329535426,6.5024345611532,-1.29397489061354,9.49333958511601,10.7873144757295,9.37505003967609,9.5047801580699,9.473809461046,9.53620673852896,9.57685152825908,10.4310899268635,10.8714178111556,10.8283099148584,10.9088174260804,10.8969372996897
202854_at,NA,NA,-1.9175047231788,10.1376019526489,-7.68828062381925,5.43146056032313e-07,0.00020683419618369,6.44323138295448,-1.9175047231788,9.11971341543394,11.0372181386127,9.14969411460223,8.43324215891412,9.60786686485772,9.64115552290204,8.76660841589359,10.947696626235,11.2341769125251,10.985901213749,10.8298599210093,11.1884560195454
214404_x_at,NA,NA,1.72789538391149,9.58185487193989,7.49321059813719,7.69331387501583e-07,0.000281847366088916,6.11345453318997,1.72789538391149,10.364834704946,8.63693932103452,10.2436916805046,10.5715953820456,10.0960960762634,11.1452166219728,9.76757376394358,8.81796112963556,8.41581230490351,8.58561241628574,8.84840647957836,8.51690427476941
219734_at,NA,NA,2.34714549454028,7.32843618910721,7.45846359741993,8.18986527420407e-07,0.000281847366088916,6.05411067719451,2.34714549454028,8.3038139460102,5.95666845146992,7.27963682495753,8.52092400033451,9.34801745937103,8.1990326728627,8.17145877252522,5.99036953840255,5.62417428811482,6.17050021699453,5.47014681228746,6.52815140155022
218847_at,NA,NA,-1.46474586476111,7.03004895548763,-7.45261926184271,8.27660895783687e-07,0.000281847366088916,6.04411130262008,-1.46474586476111,6.48087517606777,7.94562104082888,6.40752828680412,6.76038902546922,6.35603328347789,6.38074001434533,6.49968527024227,7.35671285154895,8.22628676636185,8.24020555578863,7.89070399903255,8.01419603141242
212218_s_at,NA,NA,2.20170899040173,9.49032008804111,7.43525871355948,8.5399666525275e-07,0.000281847366088916,6.01437779241049,2.20170899040173,10.6451066366564,8.4433976462547,10.2380207751572,10.5102200151332,10.3220095303907,10.4499572194527,11.7053256431483,8.3602328981762,7.96526487102763,8.89155298118587,8.56319133466715,8.43674614621665
203058_s_at,NA,NA,2.88479312517024,8.99179642765637,7.35085270899789,9.95055118487902e-07,0.000317807765424152,5.86916528156162,2.88479312517024,10.9306932820979,8.04590015692768,11.2053436617152,10.7398238295711,10.1674548103601,10.5055555304091,12.0352885784341,8.60670933270237,7.72324042488162,8.59456762515627,7.07819514930841,8.22678825258971
202345_s_at,NA,NA,-3.19413460735066,9.35852321286732,-7.29803679136831,1.09547403215716e-06,0.000338946512262127,5.7777516608916,-3.19413460735066,8.12817393526358,11.3223085426142,8.19410116234945,8.85091791929436,7.39634306786476,8.25052394036256,7.94898358644678,10.7835839784726,11.3068766561194,12.3077466936178,9.91109561860261,12.3022397662588
221510_s_at,NA,NA,-1.79097649790516,8.7542815588311,-7.06381709394341,1.68555558935596e-06,0.000505717754248889,5.36726605205776,-1.79097649790516,8.02240950683883,9.81338600474398,7.95027207921074,7.74994932943294,8.49721508406318,8.21683178941352,7.69777925207374,9.69436929373522,9.54504662887562,9.23216676882656,10.6158858697944,9.97946146248809
