;Symbol;GSM26878.CEL;GSM26883.CEL;GSM26887.CEL;GSM26903.CEL;GSM26910.CEL;GSM26888.CEL;GSM26889.CEL;GSM26892.CEL;GSM26898.CEL;GSM26906.CEL;GSM26879.CEL;GSM26896.CEL;GSM26897.CEL;GSM26907.CEL;GSM26911.CEL
214753_at;N4BP2L2;6,16183805878048;6,31722564716721;6,32937754717122;6,34313044123624;5,90650461979249;6,36280828449102;6,36280828449102;6,80839677047002;6,31482954179637;6,28663837051158;6,52881720133605;7,19473602378853;7,0184252677601;6,13534691371443;6,36280828449102
214756_x_at;PMS2P1;9,85260318648477;10,6452125951554;10,4519684237438;10,1871634954647;9,81469188091408;9,84087343449176;9,94556504864888;9,68967202759077;9,64416457966865;9,71723865447736;10,0143253219144;10,1558100357641;9,77317888901811;9,83886104673541;10,0886466376691
214761_at;ZNF423;6,69110672479718;6,38847606646389;5,87114217393516;5,92726650330226;6,32313481975706;7,40447928199925;5,74940450149771;5,91573230208399;5,89897984250398;5,8903069215734;5,97403085338298;8,43432959518318;6,89178285166793;6,71293566033848;6,15394434719064
214764_at;RRP15;5,6034684590421;5,23753950147247;5,45230485561899;5,21529909169298;5,5811674923452;5,88257386933081;5,27734683090154;6,74801969521656;6,83358771609203;5,71640294688872;5,27711401984351;5,68169628828731;6,63812636242276;5,42619422480221;5,68070272256911
214765_s_at;NAAA;8,43487664987969;7,60394194135525;8,468803407657;9,46839558442661;8,90130630123988;7,80662529153511;8,04931100889507;7,93778217662304;6,77358696775646;7,71607589756967;7,38509726245773;7,3274359930301;7,31497635310363;7,14895197583323;7,36534491477187
214766_s_at;AHCTF1;7,38369377186747;6,26762197911215;7,2217727501277;6,64556984648732;6,31205148094933;6,7990417175635;7,25767019514756;7,1199778672004;7,83673145710648;7,3878016012797;6,94370189020484;6,79872315032368;7,41519630207614;6,85774088273239;7,12156247041927
214768_x_at;IGKC;9,50342389421491;9,1452780353928;8,72676553104124;8,35195743691919;7,04843891653733;8,56106975552182;7,72544149845202;10,0435868795619;7,19299363572011;9,82710569177783;10,9703767176909;8,66370293668887;8,49430620981234;6,53814225886817;9,88317924631962
214769_at;CLCN4;4,91885974743343;4,80711990390275;4,8471671576318;4,83708067830622;4,93412508960016;5,15172385341197;5,96749762415449;6,38528070896021;4,98456432577474;5,85166113084238;4,65990833154079;5,11732841205874;4,92311474116274;4,76769383350928;4,87043021392527
214770_at;MSR1;7,1846740634564;7,19487822006971;6,8590054708791;6,66158362226249;6,42150209482935;7,49545490726635;7,86420547537079;7,29591758343535;6,32053050656575;7,11292795834013;7,29499817961608;6,70749084687247;7,27133050220867;7,40947522964672;6,8257144257141
214771_x_at;MPRIP;9,39029805706628;9,61128653138185;9,95114922300822;9,82271957303334;10,6538843436937;10,5567366282104;10,1694852742641;10,2455705533984;10,1333923450429;10,0421458761249;10,1579683337371;10,0695902442198;9,87929093173683;10,1690519127216;10,1284369708651
