;symbol;ID;GrupID;PF14;PF19;PF23;PF39;PF46;PF24;PF25;PF28;PF34;PF42;PF15;PF32;PF33;PF43;PF47
204485_s_at;TOM1L1;204485_s_at;1;9,38844039323821;9,81563619710047;9,19700468016076;8,05487105179683;8,00620131605656;6,39918072194079;8,02926421673517;8,12389594927822;8,8214361241108;7,25091697741667;11,6281533480371;8,05216712698975;8,96018442280723;9,49899519955433;10,4301191429801
209114_at;TSPAN1;209114_at;1;8,08127181205947;9,06326068987722;8,49290636814175;8,44569057908564;8,35453175480079;7,63746234985665;7,98319513989614;7,7211244801826;7,91902574122915;7,56223874397729;8,46805016424407;8,86690095749076;9,96412887800361;9,03896576304473;9,26021099384874
204623_at;TFF3;204623_at;1;8,88523078331332;13,1423770904595;9,57878241020431;8,28597909497802;7,83994187141018;7,71886481606508;7,7414173237655;7,52319859879469;7,3765382540867;7,5116625765326;11,6347059153155;10,5831201599266;13,8522774503918;12,3618912851939;12,144221426647
206799_at;SCGB1D2;206799_at;1;6,08450835967826;12,2972817908424;5,87904406363523;6,01302268582352;7,12178159020567;6,09326352656855;6,38840688892173;6,08686047288605;6,14150113201474;5,96638004290163;6,63262254829845;9,56387960294628;12,3447299002508;11,0176130389416;12,7985406612384
206378_at;SCGB2A2;206378_at;1;5,29164625805081;13,4459336821838;4,80354279041298;5,07785424359374;11,6403962640596;4,7835549446536;4,89506445863854;4,97596263468084;4,69916334997411;4,83067202761909;6,47440928947026;12,3078185510896;13,2488459707467;13,3339195097779;13,5293822509534
218242_s_at;KMT5B;218242_s_at;1;8,17968151432866;8,94324771773155;8,46150964674623;7,74140423591084;9,16874074648564;7,75669620466843;8,38896366597306;7,78286408575526;7,76572323950976;8,08856624162475;8,73007434691154;9,03919518755385;8,84216991216567;9,59231508477851;9,19045630232256
206059_at;ZNF91;206059_at;1;8,41624658175787;9,60399343194159;8,1720029118906;8,84540785616436;8,38771061019637;7,24107018326934;8,28406858738943;7,54252482091046;7,47630466121872;7,90880821815508;8,67486348924649;8,39220481057483;8,85019715768167;8,68355859971993;10,3925767185244
218409_s_at;DNAJC1;218409_s_at;1;9,3790236000657;9,56395422939522;8,867827177226;9,87956581374569;8,37074059875064;8,46583725953569;8,42189263684909;8,90664301743162;8,43676083630558;9,14693900986561;9,30699413000784;8,74562267759701;9,48206314888199;10,9461989759872;10,3729420037997
202173_s_at;VEZF1;202173_s_at;1;6,47227053863152;7,17260596765318;7,13945911608094;6,19934079579189;5,7846377197447;5,83473768633416;5,91257503281053;6,04488138998844;6,63653706524635;5,78922963487673;6,62105846671654;6,46488083053209;6,43074994065595;7,7273725853417;8,29535947307404
219913_s_at;CRNKL1;219913_s_at;1;9,20096571742271;9,874252518019;9,84804005987605;9,29825062738591;8,62497130082514;8,05330031107443;9,1053386936415;8,66920261133881;8,82004219134904;8,94232235332705;9,38726396981344;9,95156774518138;10,4852676830545;10,2485333066001;8,79388263973156
218804_at;ANO1;218804_at;1;6,24876275106624;7,90335347055291;6,91506425511807;5,32890483385628;6,09223191075338;5,21143955119451;7,08385653611109;5,17989327653692;7,80537346242002;6,38664130877493;7,5599757911946;8,73531719974807;8,04748844981697;7,79533243889259;7,18471700341466
212554_at;CAP2;212554_at;1;7,26662642031396;7,49343147738589;7,60193456319408;7,90156185145113;7,3563660564303;7,4827344673322;7,15525602686326;7,41000492605779;7,41858509032731;7,3195799721756;8,73832347710677;9,47392361243748;8,08005248991824;8,30044511574853;8,98345402708941
205380_at;PDZK1;205380_at;1;4,91557898466013;4,88410179386008;4,86075348232455;4,8018239519793;5,16716474952318;4,73135265735113;4,81332798303059;4,73290263234679;4,7559505368123;4,70381007348087;7,39649097689696;11,1559367606441;6,67431703314228;4,99542171773044;6,49865084129611
210096_at;CYP4B1;210096_at;1;4,85128731802387;4,8764644023347;5,31206765556167;4,82374566298342;5,22430898758822;4,745215930328;5,17530518636434;4,9037630688688;4,68775753833717;4,98534005238386;5,25293801767646;7,20239436643249;5,01789280166771;5,31307916195438;6,9393469147257
206115_at;EGR3;206115_at;1;6,3324081380767;5,75722979100567;5,81557618172586;6,2362513249154;6,41449135005305;6,82591481015989;6,26780517115618;6,52312235321047;6,73319420168134;7,34716150391651;6,98117242572792;9,56019488137019;6,52788039187597;6,44410817025335;8,54786489513992
203929_s_at;MAPT;203929_s_at;1;8,39734969575397;7,66205239448925;8,35999951768899;9,09167807056452;8,41146132715851;7,7480043610082;7,65587432218879;8,07039899686885;8,52510822301429;7,14039469306633;8,39734969575397;10,300168607865;9,8293376673961;7,61898696735248;9,95291101851885
209460_at;ABAT;209460_at;1;6,41351399990762;7,79201232469555;7,01494322028464;8,39771299551293;7,18468489878216;6,48523058322951;6,01910584406385;5,50940899569798;5,23246856885628;6,58211048245004;9,93147387385928;9,66431246883915;7,76837515800416;7,71061635411624;8,79506089351044
209459_s_at;ABAT;209459_s_at;1;5,88531685567844;7,12499785843084;6,14004996968207;8,16917129138343;6,16285416514704;5,41463333272155;5,377965413068;4,75666095366594;4,64407918298429;5,86206520030466;9,54915988542064;9,465431443425;7,58896807805473;7,61130900080767;8,46753089584161
206595_at;CST6;206595_at;1;6,953436370743;8,3873554105879;6,4839601324406;7,75976132249256;6,82098377770863;6,3004215535302;6,11219756441822;6,11080211633161;5,96079865113302;6,8030576244032;9,61891264549059;8,4995209312955;6,55047913883456;7,00088255387919;7,69853830559007
205239_at;AREG;205239_at;1;4,84606989493563;9,1787155237039;4,57857935213506;5,50917198897886;7,09032731662511;4,62171246468668;5,00055353377576;4,57669829262621;4,654334479254;4,64716715159424;9,41525993662593;10,0326603878572;7,26043024817606;5,69904196684193;8,55501912973186
212551_at;CAP2;212551_at;1;7,44851819677839;8,29547688121653;7,52113491734103;7,77206033600899;7,71575584856413;7,52343893515052;7,2403380215297;7,68780928975272;7,72639881503284;7,38546808820761;8,79047003231138;9,01991473236063;7,77206033600899;8,43897360523771;9,81788160245524
205186_at;DNALI1;205186_at;1;6,00075934503031;7,30528436066743;5,60276747415136;6,23442087939713;6,33492809781059;6,05360666918095;5,62588934186644;5,81774656278923;6,21813372877144;5,8673241982538;7,84123054292936;6,99866602597303;6,84003039667369;7,406297973921;8,08351168873198
211421_s_at;RET;211421_s_at;1;6,98290630567013;8,37882706861803;9,92967477003498;5,60059752913883;6,36943006538816;5,68805608902369;6,3944415446771;5,61462475903289;6,02477883088686;5,74294076327934;10,0999886309379;10,8111190285004;8,33172169273454;8,6857479502668;9,43203023520974
205879_x_at;RET;205879_x_at;1;8,64012384329403;9,35291484887667;9,6083493392591;8,27082804601195;8,79704332581066;8,50491217609237;8,61672297478066;8,37119440446077;8,73001028010524;8,21124351755124;10,2109483322595;9,44651963196199;8,8333562106788;9,16441432458042;10,311716227954
209710_at;GATA2;209710_at;1;7,31574956761195;7,88734540224661;8,71225521543402;7,95715529299828;8,47674230502312;7,60184461710369;7,95519326735697;7,177126503717;7,46822314195902;7,25729133207305;9,96509001130785;9,21674413259371;8,19866215380342;8,67792192095656;8,935049590951
215867_x_at;CA12;215867_x_at;1;9,2219681492222;9,04110220177152;9,03447842112458;10,9068732666383;10,6859133898658;10,0001203157134;8,99620544593447;9,10995436021048;8,45033830773142;8,82016524957863;11,0194989714483;11,0938248768671;10,4808038677667;10,2466730286949;9,74986585619685
