,SYMBOLS,AvsB,AvsL,BvsL
206799_at,SCGB1D2,0,0,-1
206827_s_at,TRPV6,1,1,0
206945_at,LCT,0,1,0
207039_at,CDKN2A,-1,0,1
207076_s_at,ASS1,0,1,0
207102_at,AKR1D1,1,1,0
207181_s_at,CASP7,0,-1,0
207275_s_at,ACSL1,0,1,0
207469_s_at,PIR,0,1,0
207571_x_at,THEMIS2,-1,0,0
207700_s_at,NCOA3,1,0,-1
207828_s_at,CENPF,-1,0,0
207843_x_at,CYB5A,1,1,0
207981_s_at,ESRRG,1,1,0
208103_s_at,ANP32E,-1,-1,1
208180_s_at,HIST1H4H,1,0,0
208370_s_at,RCAN1,0,0,1
208682_s_at,MAGED2,1,0,0
208690_s_at,PDLIM1,1,0,0
208702_x_at,APLP2,0,1,0
208711_s_at,CCND1,0,0,-1
208712_at,CCND1,0,0,-1
208763_s_at,TSC22D3,1,0,0
208788_at,ELOVL5,1,0,-1
208791_at,CLU,1,0,0
208792_s_at,CLU,1,0,0
208854_s_at,STK24,-1,0,0
208872_s_at,REEP5,1,1,0
208873_s_at,REEP5,1,0,0
208875_s_at,PAK2,-1,0,0
208892_s_at,DUSP6,1,0,0
208896_at,DDX18,-1,0,0
208924_at,RNF11,1,0,0
208925_at,CLDND1,-1,0,0
208933_s_at,LGALS8,0,0,-1
208935_s_at,LGALS8,0,-1,0
208965_s_at,IFI16,-1,0,0
208966_x_at,IFI16,-1,0,0
208997_s_at,UCP2,1,0,0
208998_at,UCP2,1,0,0
209008_x_at,KRT8,1,0,-1
209016_s_at,KRT7,0,1,0
209031_at,CADM1,-1,0,0
209048_s_at,ZMYND8,1,0,0
209049_s_at,ZMYND8,1,0,0
209083_at,CORO1A,-1,0,0
209112_at,CDKN1B,0,-1,0
209114_at,TSPAN1,0,0,-1
209122_at,PLIN2,-1,0,1
209135_at,ASPH,1,0,0
209146_at,MSMO1,1,0,0
209163_at,CYB561,1,0,0
209164_s_at,CYB561,1,0,0
209167_at,GPM6B,-1,0,1
209169_at,GPM6B,-1,0,1
209170_s_at,GPM6B,-1,0,1
209172_s_at,CENPF,-1,0,0
209173_at,AGR2,1,0,-1
209183_s_at,DEPP1,-1,0,0
209184_s_at,IRS2,-1,0,0
209185_s_at,IRS2,-1,0,0
209191_at,TUBB6,-1,0,0
209258_s_at,SMC3,-1,0,0
209259_s_at,SMC3,-1,0,0
209272_at,NAB1,-1,0,0
209283_at,CRYAB,0,0,1
209288_s_at,CDC42EP3,-1,0,0
209289_at,NFIB,0,0,1
209306_s_at,SWAP70,1,1,0
209308_s_at,BNIP2,-1,0,0
209309_at,AZGP1,1,0,0
209337_at,PSIP1,-1,-1,0
209341_s_at,IKBKB,0,-1,0
209343_at,EFHD1,1,0,0
209366_x_at,CYB5A,1,1,0
209380_s_at,ABCC5,0,-1,0
209386_at,TM4SF1,-1,0,1
209387_s_at,TM4SF1,-1,0,1
209389_x_at,DBI,0,1,0
209395_at,CHI3L1,-1,0,1
209396_s_at,CHI3L1,-1,0,1
209397_at,ME2,-1,0,0
209417_s_at,IFI35,0,-1,0
209443_at,SERPINA5,0,-1,-1
209459_s_at,ABAT,1,-1,-1
209460_at,ABAT,1,-1,-1
209480_at,HLA-DQB1,0,1,1
209504_s_at,PLEKHB1,-1,0,0
209522_s_at,CRAT,1,0,0
209524_at,HDGFL3,0,-1,0
209526_s_at,HDGFL3,0,-1,0
209531_at,GSTZ1,1,0,0
209539_at,ARHGEF6,-1,0,0
209602_s_at,GATA3,1,-1,-1
209603_at,GATA3,1,-1,-1
209604_s_at,GATA3,1,-1,-1
209616_s_at,CES1,1,1,0
209624_s_at,MCCC2,1,0,0
209626_s_at,OSBPL3,0,0,1
209642_at,BUB1,-1,0,1
209644_x_at,CDKN2A,-1,0,1
209648_x_at,SOCS5,-1,0,0
209696_at,FBP1,0,0,-1
209710_at,GATA2,0,0,-1
209778_at,TRIP11,1,0,0
209786_at,HMGN4,-1,-1,0
209787_s_at,HMGN4,-1,-1,0
209790_s_at,CASP6,1,0,0
209799_at,PRKAA1,1,1,0
209800_at,KRT16,-1,0,1
209807_s_at,NFIX,0,0,1
209822_s_at,VLDLR,0,1,0
209842_at,SOX10,-1,0,1
209890_at,TSPAN5,1,0,0
209900_s_at,SLC16A1,-1,0,1
209917_s_at,TP53TG1,1,1,0
209949_at,NCF2,-1,0,0
209966_x_at,ESRRG,1,0,0
209988_s_at,ASCL1,0,-1,-1
210010_s_at,SLC25A1,0,0,-1
210024_s_at,UBE2E3,-1,0,0
210056_at,RND1,1,0,0
210074_at,CTSV,-1,0,0
210085_s_at,ANXA9,0,0,-1
210095_s_at,IGFBP3,-1,0,1
210096_at,CYP4B1,0,0,-1
210105_s_at,FYN,-1,0,0
210130_s_at,TM7SF2,1,0,-1
210136_at,MBP,-1,0,0
210145_at,PLA2G4A,-1,0,1
210147_at,ART3,-1,0,1
210176_at,TLR1,-1,0,0
210241_s_at,TP53TG1,1,0,0
210319_x_at,MSX2,1,1,0
210347_s_at,BCL11A,0,0,1
210445_at,FABP6,1,1,0
210513_s_at,VEGFA,0,1,0
210519_s_at,NQO1,1,0,-1
210652_s_at,TTC39A,1,0,-1
210663_s_at,KYNU,1,1,0
210719_s_at,HMG20B,1,0,-1
210735_s_at,CA12,0,0,-1
210791_s_at,ARHGAP32,1,0,0
210830_s_at,PON2,1,1,0
210859_x_at,CLN3,1,0,0
210886_x_at,TP53TG1,1,0,0
210889_s_at,FCGR2B,-1,0,0
210896_s_at,ASPH,1,1,0
210942_s_at,ST3GAL6,-1,0,1
210959_s_at,SRD5A1,0,1,0
210976_s_at,PFKM,0,-1,0
211000_s_at,IL6ST,0,-1,0
211056_s_at,SRD5A1,0,1,0
211063_s_at,NCK1,-1,0,0
211070_x_at,DBI,0,1,0
211110_s_at,AR,1,1,0
211138_s_at,KMO,1,1,0
211162_x_at,SCD,1,0,0
211368_s_at,CASP1,-1,0,0
211404_s_at,APLP2,0,1,0
211416_x_at,GGTLC1,1,1,0
211421_s_at,RET,0,-1,-1
211423_s_at,SC5D,1,0,0
211621_at,AR,1,1,-1
211623_s_at,FBL,-1,0,0
211682_x_at,UGT2B28,1,1,0
211708_s_at,SCD,1,1,0
211712_s_at,ANXA9,0,-1,-1
211756_at,PTHLH,0,-1,-1
211953_s_at,IPO5,-1,-1,0
211954_s_at,IPO5,-1,0,0
211955_at,IPO5,-1,0,0
211988_at,SMARCE1,0,-1,0
212023_s_at,MKI67,-1,0,0
212036_s_at,PNN,-1,0,0
212051_at,WIPF2,0,-1,-1
212055_at,TPGS2,-1,0,0
212056_at,GSE1,1,0,0
212057_at,GSE1,1,0,-1
212095_s_at,MTUS1,1,0,0
212099_at,RHOB,0,0,-1
212110_at,SLC39A14,-1,0,0
212148_at,PBX1,0,0,-1
212151_at,PBX1,0,0,-1
212176_at,PNISR,-1,0,0
212179_at,PNISR,-1,-1,0
212190_at,SERPINE2,-1,0,1
212195_at,IL6ST,0,-1,-1
212196_at,IL6ST,0,-1,-1
212202_s_at,TMEM87A,1,0,0
212218_s_at,FASN,1,1,0
212240_s_at,PIK3R1,1,0,0
212256_at,GALNT10,1,0,-1
212262_at,QKI,-1,0,0
212265_at,QKI,-1,0,0
212287_at,SUZ12,0,-1,0
212314_at,SEL1L3,-1,-1,0
212325_at,LIMCH1,0,1,0
212330_at,TFDP1,-1,-1,0
212339_at,EPB41L1,0,-1,0
212417_at,SCAMP1,0,0,-1
212442_s_at,CERS6,1,0,-1
212446_s_at,CERS6,1,0,-1
212458_at,SPRED2,1,0,-1
212492_s_at,KDM4B,1,0,0
212510_at,GPD1L,1,0,-1
212531_at,LCN2,0,0,1
212543_at,CRYBG1,0,1,0
212551_at,CAP2,0,-1,-1
212554_at,CAP2,0,-1,-1
212569_at,SMCHD1,-1,0,0
212607_at,AKT3,-1,0,0
212609_s_at,AKT3,-1,0,0
212636_at,QKI,-1,0,0
212638_s_at,WWP1,1,0,-1
212676_at,NF1,0,-1,0
212678_at,NF1,0,-1,0
212692_s_at,LRBA,1,0,0
212730_at,SYNM,-1,0,1
212741_at,MAOA,1,0,0
212761_at,TCF7L2,-1,0,0
212762_s_at,TCF7L2,-1,0,0
212771_at,FAM171A1,-1,0,1
212830_at,MEGF9,1,0,0
212887_at,SEC23A,-1,-1,0
212899_at,CDK19,-1,0,0
212935_at,MCF2L,0,-1,-1
212956_at,TBC1D9,0,0,-1
212958_x_at,PAM,-1,0,0
212973_at,RPIA,-1,0,0
212982_at,ZDHHC17,0,-1,0
212999_x_at,HLA-DQB1,0,0,1
213005_s_at,KANK1,-1,0,0
213029_at,NFIB,-1,0,1
213060_s_at,CHI3L2,0,0,1
213110_s_at,COL4A5,1,0,-1
213113_s_at,SLC43A3,0,0,1
213122_at,TSPYL5,-1,0,0
213134_x_at,BTG3,-1,0,1
213170_at,GPX7,-1,0,0
213217_at,ADCY2,0,1,0
213227_at,PGRMC2,1,0,0
213234_at,FAM234B,1,0,0
213245_at,ADCY1,0,-1,0
213256_at,MARCH3,-1,0,0
213260_at,FOXC1,-1,0,1
213262_at,SACS,-1,0,0
213285_at,TMEM30B,0,0,-1
213293_s_at,TRIM22,-1,-1,0
213294_at,EIF2AK2,-1,-1,0
213298_at,NFIC,1,0,0
213309_at,PLCL2,-1,0,0
213338_at,TMEM158,-1,0,1
213341_at,FEM1C,1,1,0
213346_at,TEX30,-1,0,0
213355_at,ST3GAL6,-1,0,1
213400_s_at,TBL1X,-1,-1,0
213410_at,EDRF1,-1,0,0
213418_at,HSPA6,-1,0,1
213419_at,APBB2,0,0,-1
213441_x_at,SPDEF,1,0,0
213508_at,SPTSSA,1,1,0
213511_s_at,MTMR1,-1,0,0
213523_at,CCNE1,-1,0,1
213547_at,CAND2,-1,0,0
213564_x_at,LDHB,-1,0,1
213581_at,PDCD2,-1,0,0
213624_at,SMPDL3A,0,1,0
213627_at,MAGED2,1,0,0
213664_at,SLC1A1,1,0,-1
213680_at,KRT6B,-1,0,1
213831_at,HLA-DQA1,0,1,1
213888_s_at,TRAF3IP3,-1,0,1
213906_at,MYBL1,-1,-1,0
213982_s_at,RABGAP1L,-1,0,0
213992_at,COL4A6,0,0,-1
214022_s_at,IFITM1,0,-1,0
214038_at,CCL8,-1,0,0
214053_at,ERBB4,1,0,-1
214059_at,IFI44,0,-1,0
214077_x_at,MEIS3P1,0,-1,-1
214079_at,DHRS2,1,1,-1
214104_at,GPR161,-1,0,0
214109_at,LRBA,1,0,-1
214157_at,GNAS,1,0,0
214164_x_at,CA12,0,0,-1
214218_s_at,XIST,0,0,-1
214240_at,GAL,-1,0,1
214307_at,HGD,1,0,0
214308_s_at,HGD,1,0,0
214323_s_at,UPF3A,0,-1,0
214404_x_at,SPDEF,1,0,-1
214440_at,NAT1,0,-1,-1
214451_at,TFAP2B,1,1,-1
214511_x_at,FCGR1B,-1,0,0
214598_at,CLDN8,1,1,0
214670_at,ZKSCAN1,1,0,0
214723_x_at,ANKRD36,-1,0,0
214733_s_at,YIPF1,1,0,0
214765_s_at,NAAA,0,1,0
214774_x_at,TOX3,0,0,-1
214858_at,LOC100130449,0,0,-1
214875_x_at,APLP2,0,1,0
214974_x_at,CXCL5,-1,0,1
215034_s_at,TM4SF1,-1,0,1
215049_x_at,CD163,-1,0,1
215108_x_at,TOX3,0,0,-1
215245_x_at,FMR1,-1,0,0
215416_s_at,STOML2,-1,0,0
215465_at,ABCA12,1,1,0
215696_s_at,SEC16A,1,0,0
215726_s_at,CYB5A,1,1,0
215729_s_at,VGLL1,-1,0,1
215856_at,SIGLEC15,1,1,0
215867_x_at,CA12,0,0,-1
216035_x_at,TCF7L2,-1,0,0
216060_s_at,DAAM1,0,0,-1
216202_s_at,SPTLC2,1,0,0
216222_s_at,MYO10,0,1,0
216598_s_at,CCL2,-1,0,1
216623_x_at,TOX3,0,0,-1
216693_x_at,HDGFL3,0,-1,0
216834_at,RGS1,-1,0,0
216836_s_at,ERBB2,1,0,0
217276_x_at,SERHL2,1,1,0
217284_x_at,SERHL2,1,1,0
217356_s_at,PGK1,0,1,0
217388_s_at,KYNU,0,1,0
217528_at,CLCA2,1,1,0
217562_at,BRINP3,1,1,0
217728_at,S100A6,-1,0,0
217833_at,SYNCRIP,-1,0,0
217838_s_at,EVL,0,-1,-1
217889_s_at,CYBRD1,1,1,0
217973_at,DCXR,1,0,0
217979_at,TSPAN13,1,0,-1
217996_at,PHLDA1,-1,0,0
218025_s_at,ECI2,1,0,-1
218035_s_at,RBM47,1,0,0
218067_s_at,ARGLU1,-1,0,0
218082_s_at,UBP1,-1,0,0
218092_s_at,AGFG1,0,1,0
218096_at,AGPAT5,0,0,1
218100_s_at,IFT57,-1,0,0
218124_at,RETSAT,1,0,0
218159_at,DDRGK1,1,0,0
218174_s_at,TMEM254,1,0,0
218195_at,ARMT1,0,-1,-1
218205_s_at,MKNK2,1,0,0
218211_s_at,MLPH,1,0,-1
218224_at,PNMA1,0,-1,0
218236_s_at,PRKD3,-1,0,1
218237_s_at,SLC38A1,1,0,0
218242_s_at,KMT5B,0,0,-1
218247_s_at,MEX3C,-1,-1,0
218273_s_at,PDP1,1,0,0
218309_at,CAMK2N1,0,0,-1
218313_s_at,GALNT7,1,0,0
218319_at,PELI1,-1,0,1
218330_s_at,NAV2,-1,-1,0
218331_s_at,TASOR2,-1,-1,0
218350_s_at,GMNN,-1,0,0
218397_at,FANCL,-1,0,0
218409_s_at,DNAJC1,0,0,-1
218434_s_at,AACS,1,0,0
218438_s_at,MED28,-1,0,0
218440_at,MCCC1,0,1,0
218499_at,STK26,-1,-1,0
218502_s_at,TRPS1,0,-1,0
218531_at,TMEM134,1,0,0
218542_at,CEP55,-1,0,0
218546_at,C1orf115,1,0,0
218552_at,ECHDC2,1,0,0
218618_s_at,FNDC3B,0,0,1
218640_s_at,PLEKHF2,0,0,-1
218677_at,S100A14,0,-1,0
218684_at,LRRC8D,-1,0,0
